Location,Count
"Marassi, Sidi Abdel Rahman, North Coast",391
"Mountain View iCity, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",387
"Madinaty, Cairo",354
"Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",351
"Palm Hills New Cairo, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",318
"Silver Sands, Qesm Marsa Matrouh, North Coast",285
"O West, 6 October Compounds, 6 October City, Giza",279
"Sarai, Mostakbal City Compounds, Mostakbal City - Future City, Cairo",262
"Mountain View iCity October, 6 October Compounds, 6 October City, Giza",256
"Mivida, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",226
"Mountain View, Ras Al Hekma, North Coast",226
"Taj City, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",223
"Azha North, Ras Al Hekma, North Coast",218
"Mountain View Hyde Park, 5th Settlement Compounds, The 5th Settlement, New Cairo City, Cairo",214
"Mangroovy Residence, Al Gouna, Hurghada, Red Sea",211
